production,p_per_m2,panel_area,facade_area,total_panel_area,exploitation_ratio,cloud_opacity_mean,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,dni_mean,dni_std,dni_q3,dni_max,ghi_std,gti_mean,gti_std,gti_q3,gti_max,relative_humidity_std,relative_humidity_min
24.9,143.0,1.72,218.0,94.6,0.434,22.860416666666666,0.0,16.799999999999997,41.6,158.04166666666666,242.1314886614677,281.0,829,239.2216758469756,209.125,269.8558815525625,360.25,945,18.24337427087529,38.1
9.7,143.0,1.72,218.0,94.6,0.434,51.42083333333333,37.175,51.55,73.75,14.541666666666666,68.93813394672601,0.0,462,150.28630920360828,106.4375,149.0066264769542,169.75,521,8.19398429008131,64.4
8.5,143.0,1.72,218.0,94.6,0.434,44.51666666666667,25.4,40.95,72.55,9.458333333333334,35.24984281439729,0.0,216,101.68610222899106,85.25,98.94195590495406,154.25,321,4.153164648282637,75.9
25.4,143.0,1.72,218.0,94.6,0.434,25.6375,0.0,24.25,49.1,131.64583333333334,229.48893169280203,133.0,813,225.3235882345513,195.3125,247.24027044514253,337.5,959,7.754401346862759,67.6
24.3,143.0,1.72,218.0,94.6,0.434,26.3125,0.0,24.55,43.225,155.41666666666666,240.4535460362738,295.0,777,255.72474882795484,226.9583333333333,279.8599161992218,477.25,760,14.35364000464616,55.0
17.5,143.0,1.72,218.0,94.6,0.434,35.18958333333333,0.0,37.7,73.875,158.41666666666666,282.1193223739515,164.0,826,227.2242220241233,163.4375,254.1626976204457,154.25,855,16.080242050328817,49.1
38.2,143.0,1.72,218.0,94.6,0.434,0.7578947368421053,0.0,0.0,0.0,414.7157894736842,398.5100085012921,837.5,905,335.38808394649834,339.41052631578947,391.45477428886966,722.0,1019,23.48881161311998,34.0
19.0,143.0,1.72,218.0,94.6,0.434,40.31632653061224,9.7,33.5,73.3,100.9795918367347,193.74462248407465,36.0,578,236.24663550856263,176.0612244897959,258.79692876874725,216.0,857,14.952215554893536,51.0
17.9,143.0,1.72,218.0,94.6,0.434,50.46875,34.925000000000004,48.2,74.55,50.0,120.62831959934492,13.0,539,194.7589845340584,155.66666666666666,200.6825940287281,275.5,803,10.446727192884545,65.3
4.7,143.0,1.72,218.0,94.6,0.434,51.552083333333336,22.65,62.45,80.9,0.0,0.0,0.0,0,75.17985232118683,62.04166666666666,72.6331377198828,122.25,210,4.1212813670487245,81.2
